Subject Name:D:\adrian0706nast.txt
File Created: 08.06.2016 00:10:17 
Version: 2.3 
Released: 4/22/2012
 
Elapsed Time 	Action 	 X	Y
34,74	Moved	931	784
34,757	Moved	931	783
34,764	Moved	931	782
34,772	Moved	931	781
34,78	Moved	931	780
34,913	Moved	931	779
36,577	Moved	931	778
36,593	Moved	929	778
36,593	Moved	920	781
36,611	Moved	912	782
36,619	Moved	902	784
36,625	Moved	889	785
36,633	Moved	871	787
36,641	Moved	858	789
36,649	Moved	849	793
36,657	Moved	844	798
36,665	Moved	841	803
36,89	Moved	840	804
36,89	Moved	841	804
36,906	Moved	842	804
36,916	Moved	842	803
36,916	Moved	843	802
36,931	Moved	843	801
36,931	Moved	845	799
36,947	Moved	846	797
36,955	Moved	846	796
36,959	Moved	846	794
36,959	Moved	846	793
36,975	Moved	845	791
36,975	Moved	842	787
36,992	Moved	839	784
36,992	Moved	834	780
37,007	Moved	826	776
37,007	Moved	813	771
37,023	Moved	797	766
37,023	Moved	771	760
37,039	Moved	742	753
37,039	Moved	713	747
37,057	Moved	685	743
37,191	Moved	672	741
37,338	Moved	671	741
37,338	Moved	671	740
37,357	Moved	671	739
37,361	Moved	671	738
37,361	Moved	671	737
37,376	Moved	671	736
37,376	Moved	671	735
37,392	Moved	671	734
37,392	Moved	671	733
37,408	Moved	671	732
37,408	Moved	671	731
37,461	Moved	671	730
37,48	Moved	668	729
37,48	Moved	663	727
37,495	Moved	657	726
37,495	Moved	651	722
37,511	Moved	642	718
37,511	Moved	634	714
37,526	Moved	626	710
37,526	Moved	618	708
37,542	Moved	611	707
37,542	Moved	607	706
37,561	Moved	602	705
37,561	Moved	598	703
37,561	Moved	595	703
37,577	Moved	593	702
37,577	Moved	592	702
37,592	Moved	591	702
38,761	Moved	590	702
38,763	Moved	578	674
38,763	Moved	563	643
38,784	Moved	547	606
38,793	Moved	532	569
38,8	Moved	520	536
38,808	Moved	506	508
38,816	Moved	494	481
38,824	Moved	482	459
38,832	Moved	475	444
38,84	Moved	470	431
38,849	Moved	467	420
38,857	Moved	464	412
38,863	Moved	461	404
38,871	Moved	460	394
38,879	Moved	458	386
38,887	Moved	457	381
38,895	Moved	456	376
38,903	Moved	455	371
38,911	Moved	453	367
38,919	Moved	451	362
38,927	Moved	450	357
38,935	Moved	449	354
38,943	Moved	447	350
38,951	Moved	446	347
38,957	Moved	444	342
38,965	Moved	442	339
38,973	Moved	440	335
38,981	Moved	439	333
38,989	Moved	438	331
38,997	Moved	437	329
39,005	Moved	436	328
39,013	Moved	435	327
39,021	Moved	434	326
39,031	Moved	433	324
39,037	Moved	432	322
39,045	Moved	430	318
39,053	Moved	429	315
39,061	Moved	428	310
39,067	Moved	427	305
39,075	Moved	426	300
39,083	Moved	424	297
39,091	Moved	423	293
39,099	Moved	422	291
39,107	Moved	422	288
39,115	Moved	421	285
39,123	Moved	420	282
39,133	Moved	419	279
39,139	Moved	418	277
39,147	Moved	418	276
39,155	Moved	417	275
39,162	Moved	416	274
39,176	Moved	416	273
39,201	Pressed Left	416	272
39,609	Moved	416	272
39,617	Moved	416	274
39,625	Moved	416	283
39,633	Moved	418	291
39,641	Moved	419	299
39,649	Moved	420	307
39,657	Moved	422	314
39,664	Moved	423	322
39,672	Moved	426	328
39,68	Moved	428	334
39,688	Moved	431	341
39,696	Moved	433	347
39,702	Moved	437	352
39,71	Moved	441	358
39,718	Moved	444	364
39,726	Moved	446	370
39,734	Moved	450	378
39,743	Moved	452	387
39,751	Moved	454	395
39,759	Moved	457	401
39,767	Moved	460	409
39,775	Moved	461	414
39,783	Moved	462	419
39,791	Moved	463	422
39,799	Moved	464	427
39,805	Moved	465	430
39,815	Moved	467	436
39,821	Moved	468	442
39,829	Moved	470	452
39,836	Moved	472	460
39,844	Moved	475	470
39,853	Moved	479	483
39,861	Moved	482	494
39,868	Moved	483	504
39,876	Moved	486	513
39,884	Moved	487	521
39,892	Moved	488	526
39,9	Moved	490	530
